"date_found","event_title","event_date","start_time","end_time","venue","district","address","category","source_name","source_url","confidence_score","notes"
"2026-09-18","HOLA FEST PRIMAVERA","2026-09-18","13:00","21:00","Plaza Andres Avelino Caceres","San Isidro","Calle Coronel Andres Reyes cdra. 5, San Isidro, Lima, Peru","Feria/Diseno","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.93","Feria de arte, moda, diseno, ilustracion, ceramica, vintage, zona foodie y actividades culturales."
"2026-09-18","GENIOS DEL ARTE. THE EXPERIENCE","2026-09-18","13:30","21:30","Centro Comercial Plaza San Miguel","San Miguel","Av. La Marina 2000, 4to piso, San Miguel, Lima, Peru","Familia/Experiencia inmersiva","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.94","Heptagrama lista experiencia inmersiva con mundos de artistas y realidad virtual."
"2026-09-18","CONCIERTO DIDACTICO BANDA SINFONICA UNMSM","2026-09-18","16:00","","Facultad de Quimica e Ingenieria Quimica UNMSM","Lima","Av. Carlos German Amezaga 375, Lima, Peru","Musica/Educativo","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.9","Recreo Cultural: El Arte en la Decana de America; ingreso libre."
"2026-09-18","CINEART: VARDA POR AGNES / ERNEST COLE, FOTOGRAFO","2026-09-18","17:00","","Sala Lumiere de la Alianza Francesa","Miraflores","Av. Arequipa 4595, Miraflores, Lima, Peru","Cine/Documental","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.9","Doble funcion a las 5:00pm y 7:00pm en Cine Club AF."
"2026-09-18","ANTUCA","2026-09-18","18:00","","Sala de Conferencias de Estudios Generales Letras PUCP","San Miguel","Av. Universitaria 1801, Urbanizacion Pando, San Miguel, Lima, Peru","Cine","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.89","Cine Club Letras PUCP; ingreso libre con inscripcion."
"2026-09-18","VIERNES LITERARIOS PROGRAMA 1595","2026-09-18","18:30","","Auditorio de la Biblioteca del Museo Metropolitano","Cercado de Lima","Av. 28 de Julio 800, Parque de la Exposicion, Cercado de Lima, Lima, Peru","Literatura/Recital","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.9","Recital poetico y presentacion de libros; ingreso libre."
"2026-09-18","PLAYLIST DE POEMAS","2026-09-18","19:00","","Libreria Placeres Compulsivos","Barranco","Jr. Mariscal Jose Antonio de Sucre 407, Barranco, Lima, Peru","Literatura/Conversatorio","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.89","Conversatorio sobre poesia con Pablo Salazar, Carlos Lopez Degregori y Karina Valcarcel."
"2026-09-18","MAMMA MIA! HOMENAJE AL GRUPO ABBA","2026-09-18","20:00","","Teatro Peruano Japones","Jesus Maria","Av. Gregorio Escobedo 803, Residencial San Felipe, Jesus Maria, Lima, Peru","Teatro musical","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.91","Funcion teatral listada por Heptagrama para viernes 18."
"2026-09-18","EL LAGO DE LOS CISNES","2026-09-18","20:00","","Teatro Municipal","Cercado de Lima","Jr. Ica 377, cruce con Jr. Cailloma, Cercado de Lima, Lima, Peru","Danza/Musica","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.92","Ballet Municipal de Lima con Orquesta Sinfonica del Teatro Municipal."
"2026-09-18","ARENALES MUSIC","2026-09-19","12:00","21:00","Centro Comercial Arenales","Lince","Av. Arenales 1737, Lince, Lima, Peru","Festival/Musica/Feria","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.9","Feria de vinilos, instrumentos y merchandising con conciertos; ingreso libre."
"2026-09-18","BRIT NIGHT FESTIVAL","2026-09-19","21:00","","El Dragon","Barranco","Av. Nicolas de Pierola 168, Barranco, Lima, Peru","Musica/Rock","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.88","Tributos a The Smiths, Brit Pop, Robbie Williams, The Cure y Oasis."
"2026-09-18","EL GRAN COMBO DE PUERTO RICO","2026-09-18","18:00","","Gran Teatro Nacional","San Borja","Av. Javier Prado Este 2225, San Borja, Lima, Peru","Musica/Salsa","Teleticket","https://teleticket.com.pe/","0.92","Teleticket lista Fiesta Salsera en Gran Teatro Nacional para 18 de setiembre."
"2026-09-18","BACILOS EN LIMA","2026-09-18","20:00","","Multiespacio Costa 21","San Miguel","Circuito de Playas Costa Verde, San Miguel, Lima, Peru","Musica/Pop latino","Teleticket","https://teleticket.com.pe/","0.88","Teleticket muestra evento para 18 de setiembre; hora inferida de cartelera de conciertos."
"2026-09-18","LOS CAFRES","2026-09-19","20:00","","Circulo Militar del Peru Salaverry","Jesus Maria","Av. Salaverry, Jesus Maria, Lima, Peru","Musica/Reggae","Teleticket","https://teleticket.com.pe/","0.88","Teleticket lista Los Cafres para 19 de setiembre."
"2026-09-18","FEDE VIGEVANI EN LIMA","2026-09-19","19:00","","Multiespacio Costa 21","San Miguel","Circuito de Playas Costa Verde, San Miguel, Lima, Peru","Musica/Show familiar","Teleticket","https://teleticket.com.pe/","0.87","Teleticket lista show en Costa 21 para 19 de setiembre."
"2026-09-18","VIVA MEXICO","2026-09-24","20:00","","C.C. Maracana","Jesus Maria","Jesus Maria, Lima, Peru","Musica/Folklore","Teleticket","https://teleticket.com.pe/","0.85","Teleticket lista evento musical para 24 de setiembre."
"2026-09-18","FIESTA PERU - LA PENITA","2026-09-25","20:00","","C.C. Maracana","Jesus Maria","Jesus Maria, Lima, Peru","Musica/Criolla","Teleticket","https://teleticket.com.pe/","0.84","Teleticket lista temporada del 25 de setiembre al 25 de octubre."
"2026-09-18","LAS GUARDIANAS KPOP - SHOW OFICIAL INTERNACIONAL","2026-09-27","18:00","","Auditorio San Agustin","San Isidro","San Isidro, Lima, Peru","Entretenimiento/K-pop","Teleticket","https://teleticket.com.pe/","0.86","Teleticket lista show para 27 de setiembre."
"2026-09-18","5 SECONDS OF SUMMER - EVERYONE'S A STAR WORLD TOUR","2026-09-27","20:00","","Multiespacio Costa 21","San Miguel","Circuito de Playas Costa Verde, San Miguel, Lima, Peru","Musica/Pop rock","Teleticket","https://teleticket.com.pe/","0.86","Teleticket lista concierto para 27 de setiembre."
"2026-09-18","CHAPA TU MONEY","2026-09-30","20:00","","Teatro Canout","Miraflores","Miraflores, Lima, Peru","Humor","Teleticket","https://teleticket.com.pe/","0.84","Teleticket lista funcion de humor para 30 de setiembre."
"2026-09-18","NO SOY UNA SENORA CON REBECA ESCRIBENS","2026-09-24","20:00","","La Cupula de las Artes","Santiago de Surco","Av. Manuel Olguin 200, Santiago de Surco, Lima, Peru","Teatro","Teleticket","https://teleticket.com.pe/","0.85","Teleticket lista temporada del 24 de setiembre al 03 de octubre."
"2026-09-18","ENTRE GRAFITOS Y LEYENDAS. INSPIRACIONES DE TILSA TSUCHIYA","2026-09-18","","","Estacion de Biblioteca Publica - La Victoria","La Victoria","La Victoria, Lima, Peru","Mediacion de lectura","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.86","Agenda BNP lista actividad para 18 SEP."
"2026-09-18","DEL COLEGIO MAXIMO DE SAN PABLO A LA BIBLIOTECA NACIONAL DEL PERU","2026-09-18","","","Gran Biblioteca Publica de Lima","Cercado de Lima","Av. Abancay 4ta cuadra s/n, Lima 01, Peru","Otros/Patrimonio","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.88","Agenda BNP lista actividad para 18 SEP en Gran Biblioteca Publica de Lima."
"2026-09-18","CREACION LITERARIA","2026-09-18","","","Estacion de Biblioteca Publica - Rimac","Rimac","Rimac, Lima, Peru","Taller y/o curso","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.84","Agenda BNP lista taller para 18 SEP."
"2026-09-18","LA BIBLIOTECA DE BABEL Y LA COMPOSICION","2026-09-18","","","Biblioteca Nacional del Peru","San Borja","Av. De la Poesia 160, San Borja, Lima, Peru","Mediacion de lectura","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.87","Agenda BNP lista mediacion para 18 SEP."
"2026-09-18","CLUB DE CODIGO. ENTRE PAGINAS Y PIXELES","2026-09-19","","","Estacion de Biblioteca Publica - La Victoria","La Victoria","La Victoria, Lima, Peru","Taller y/o curso","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.86","Agenda BNP lista taller para 19 SEP."
"2026-09-18","CUENTOS DE PRIMAVERA. BIENVENIDA PRIMAVERA","2026-09-19","","","Gran Biblioteca Publica de Lima","Cercado de Lima","Av. Abancay 4ta cuadra s/n, Lima 01, Peru","Mediacion de lectura","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.87","Agenda BNP lista actividad para 19 SEP."
"2026-09-18","PRIMAVERA CON SALSA","2026-09-24","","","Biblioteca Nacional del Peru","San Borja","Av. De la Poesia 160, San Borja, Lima, Peru","Sonidos de la biblioteca","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.87","Agenda BNP lista evento para 24 SEP."
"2026-09-18","LA BIBLIOTECA ABRE DE NOCHE","2026-09-24","","","Biblioteca Nacional del Peru","San Borja","Av. De la Poesia 160, San Borja, Lima, Peru","Visitas mediadas","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.88","Agenda BNP lista visita mediada nocturna para 24 SEP."
"2026-09-18","BIBLIOESCENA: DESTINO 0","2026-09-24","","","Biblioteca Nacional del Peru","San Borja","Av. De la Poesia 160, San Borja, Lima, Peru","Biblioescena","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.87","Agenda BNP lista Biblioescena para 24 SEP."
"2026-09-18","FESTILIBRO POR LA BIODIVERSIDAD","2026-09-26","","","Biblioteca Nacional del Peru","San Borja","Av. De la Poesia 160, San Borja, Lima, Peru","Otros/Literatura","BNP eventos","https://eventos.bnp.gob.pe/externo/inicio","0.86","Agenda BNP lista evento para 26 SEP."
"2026-09-18","SALSA & BACHATA IN MIRAFLORES","2026-09-18","19:00","","SONARA","Miraflores","Cerca del Parque Kennedy, Miraflores, Lima, Peru","Baile/Meetup","Meetup Lima","https://www.meetup.com/","0.75","Meetup snippet indica encuentro el 18 sep a las 19:00 cerca del Parque Kennedy."
"2026-09-18","ROBBIE WILLIAMS","2026-09-27","","","Arena 1 Costa Verde","San Miguel","Costa Verde, San Miguel, Lima, Peru","Musica/Pop","Songkick","https://www.songkick.com/metro-areas/31493-peru-lima","0.78","Songkick lista concierto outdoor de Robbie Williams para domingo 27 de setiembre; hay discrepancias con otras carteleras sobre fechas adicionales."
"2026-09-18","GORILLAZ","2026-11-23","21:00","","Arena 1 Costa Verde","San Miguel","Costa Verde, San Miguel, Lima, Peru","Musica/Alternative","Songkick","https://www.songkick.com/metro-areas/31493-peru-lima","0.82","Songkick lista Gorillaz para lunes 23 de noviembre en Arena 1 Costa Verde."
"2026-09-18","MANA - VIVIR SIN AIRE TOUR","2026-12-02","","","Estadio Universidad San Marcos","Lima","Lima, Peru","Musica/Latin pop","Songkick","https://www.songkick.com/metro-areas/31493-peru-lima","0.8","Songkick lista Mana en Estadio Universidad San Marcos; tambien aparece en Teleticket."
"2026-09-18","TE VI EN UN PLANETARIO + ESTAMOS PERDIDOS","2026-09-18","20:00","","Vichama Conciertos","Cercado de Lima","Lima, Peru","Musica/Alternative","Bandsintown","https://www.bandsintown.com/v/10449005-vichama-conciertos","0.88","Bandsintown lista show para viernes 18 a las 8:00 PM."
"2026-09-18","MILENA WARTHON","2026-09-19","18:00","","Anfiteatro Parque de la Exposicion","Cercado de Lima","Teatro La Cabana, Parque de la Exposicion, Lima, Peru","Musica","Bandsintown","https://www.bandsintown.com/v/10054290-amphitheater-exposition-park","0.86","Bandsintown lista concierto para sabado 19 a las 6:00 PM."
"2026-09-18","FOODIES FOOD FESTIVAL 2026","2026-09-19","","","Club Cultural Lima","Chorrillos","Chorrillos, Lima, Peru","Festival/Gastronomia","Bandsintown","https://www.bandsintown.com/c/santiago-de-surco-peru","0.82","Bandsintown lista festival cercano a Lima para 19 de setiembre."
"2026-09-18","SABRA FEST 2026","2026-09-20","19:00","","Rock and Pez","Lima","Lima, Peru","Festival/Musica","Bandsintown","https://www.bandsintown.com/c/lima-peru","0.84","Bandsintown lista festival Sabra Fest 2026 para 20 de setiembre."
"2026-09-18","ONDA VAGA PRESENTA AMULETOS DE CRISTAL","2026-09-24","22:00","","Lima","Lima","Lima, Peru","Musica/Indie","Bandsintown","https://www.bandsintown.com/c/lima-peru","0.8","Bandsintown lista concierto para jueves 24 a las 10:00 PM."
"2026-09-18","SONATA ARCTICA","2026-09-25","18:00","","Centro de Convenciones Teatro Leguia","Cercado de Lima","Lima, Peru","Musica/Metal","Bandsintown","https://www.bandsintown.com/c/lima-peru","0.85","Bandsintown lista concierto para viernes 25 a las 6:00 PM."
"2026-09-18","BARETO","2026-09-26","15:00","","Circulo Militar de Jesus Maria","Jesus Maria","Jesus Maria, Lima, Peru","Musica/Tropical","Bandsintown","https://www.bandsintown.com/c/lima-peru","0.82","Bandsintown lista concierto para sabado 26 a las 3:00 PM."
"2026-09-18","LOS AMIGOS INVISIBLES - IRIS FEST","2026-09-26","15:00","","Iris Fest","Lima","Lima, Peru","Musica/Funk Latin","Bandsintown","https://www.bandsintown.com/c/lima-peru","0.82","Bandsintown lista presentacion en Iris Fest para sabado 26 a las 3:00 PM."
